Token('STRUCT', 'struct', line=1, col=1)
Token('RBRACE', '}', line=2679, col=1)
Token('STRUCT', 'struct', line=2681, col=1)
Token('ID', 'Point', line=2681, col=8)
Token('LBRACE', '{', line=2681, col=14)
Token('T_INT', 'int', line=2682, col=5)
Token('ID', 'x', line=2682, col=9)
Token('SEMI', ';', line=2682, col=10)
Token('T_INT', 'int', line=2683, col=5)
Token('ID', 'y', line=2683, col=9)
Token('SEMI', ';', line=2683, col=10)
Token('RBRACE', '}', line=2684, col=1)
Token('SEMI', ';', line=2684, col=2)
Token('CONST', 'const', line=2686, col=1)
Token('T_FLOAT', 'float', line=2686, col=7)
Token('ID', 'PI', line=2686, col=13)
Token('ASSIGN', '=', line=2686, col=16)
Token('FLOAT_LIT', '3.14', line=2686, col=18)
Token('SEMI', ';', line=2686, col=22)
Token('T_INT', 'int', line=2687, col=1)
Token('ID', 'counter', line=2687, col=5)
Token('ASSIGN', '=', line=2687, col=13)
Token('INT_LIT', '0', line=2687, col=15)
Token('SEMI', ';', line=2687, col=16)
Token('T_INT', 'int', line=2688, col=1)
Token('ID', 'arr', line=2688, col=5)
Token('LBRACKET', '[', line=2688, col=8)
Token('INT_LIT', '10', line=2688, col=9)
Token('RBRACKET', ']', line=2688, col=11)
Token('SEMI', ';', line=2688, col=12)
Token('T_VOID', 'void', line=2690, col=1)
Token('ID', 'swap', line=2690, col=6)
Token('LPAREN', '(', line=2690, col=10)
Token('T_INT', 'int', line=2690, col=11)
Token('ID', 'a', line=2690, col=15)
Token('COMMA', ',', line=2690, col=16)
Token('T_INT', 'int', line=2690, col=18)
Token('ID', 'b', line=2690, col=22)
Token('RPAREN', ')', line=2690, col=23)
Token('LBRACE', '{', line=2690, col=25)
Token('T_INT', 'int', line=2691, col=5)
Token('ID', 'temp', line=2691, col=9)
Token('ASSIGN', '=', line=2691, col=14)
Token('ID', 'a', line=2691, col=16)
Token('SEMI', ';', line=2691, col=17)
Token('ID', 'a', line=2692, col=5)
Token('ASSIGN', '=', line=2692, col=7)
Token('ID', 'b', line=2692, col=9)
Token('SEMI', ';', line=2692, col=10)
Token('ID', 'b', line=2693, col=5)
Token('ASSIGN', '=', line=2693, col=7)
Token('ID', 'temp', line=2693, col=9)
Token('SEMI', ';', line=2693, col=13)
Token('RBRACE', '}', line=2694, col=1)
Token('T_INT', 'int', line=2696, col=1)
Token('ID', 'factorial', line=2696, col=5)
Token('LPAREN', '(', line=2696, col=14)
Token('T_INT', 'int', line=2696, col=15)
Token('ID', 'n', line=2696, col=19)
Token('RPAREN', ')', line=2696, col=20)
Token('LBRACE', '{', line=2696, col=22)
Token('IF', 'if', line=2697, col=5)
Token('LPAREN', '(', line=2697, col=8)
Token('ID', 'n', line=2697, col=9)
Token('LEQ', '<=', line=2697, col=11)
Token('INT_LIT', '1', line=2697, col=14)
Token('RPAREN', ')', line=2697, col=15)
Token('LBRACE', '{', line=2697, col=17)
Token('RETURN', 'return', line=2698, col=9)
Token('INT_LIT', '1', line=2698, col=16)
Token('SEMI', ';', line=2698, col=17)
Token('RBRACE', '}', line=2699, col=5)
Token('RETURN', 'return', line=2700, col=5)
Token('ID', 'n', line=2700, col=12)
Token('TIMES', '*', line=2700, col=14)
Token('ID', 'factorial', line=2700, col=16)
Token('LPAREN', '(', line=2700, col=25)
Token('ID', 'n', line=2700, col=26)
Token('MINUS', '-', line=2700, col=28)
Token('INT_LIT', '1', line=2700, col=30)
Token('RPAREN', ')', line=2700, col=31)
Token('SEMI', ';', line=2700, col=32)
Token('RBRACE', '}', line=2701, col=1)
Token('T_INT', 'int', line=2703, col=1)
Token('ID', 'main', line=2703, col=5)
Token('LPAREN', '(', line=2703, col=9)
Token('RPAREN', ')', line=2703, col=10)
Token('LBRACE', '{', line=2703, col=12)
Token('T_INT', 'int', line=2704, col=5)
Token('ID', 'x', line=2704, col=9)
Token('ASSIGN', '=', line=2704, col=11)
Token('HEX_LIT', '0xFF', line=2704, col=13)
Token('SEMI', ';', line=2704, col=17)
Token('T_INT', 'int', line=2705, col=5)
Token('ID', 'y', line=2705, col=9)
Token('ASSIGN', '=', line=2705, col=11)
Token('INT_LIT', '42', line=2705, col=13)
Token('SEMI', ';', line=2705, col=15)
Token('T_FLOAT', 'float', line=2706, col=5)
Token('ID', 'z', line=2706, col=11)
Token('ASSIGN', '=', line=2706, col=13)
Token('FLOAT_LIT', '1.5', line=2706, col=15)
Token('SEMI', ';', line=2706, col=18)
Token('FOR', 'for', line=2708, col=5)
Token('LPAREN', '(', line=2708, col=9)
Token('T_INT', 'int', line=2708, col=10)
Token('ID', 'i', line=2708, col=14)
Token('ASSIGN', '=', line=2708, col=16)
Token('INT_LIT', '0', line=2708, col=18)
Token('SEMI', ';', line=2708, col=19)
Token('ID', 'i', line=2708, col=21)
Token('LT', '<', line=2708, col=23)
Token('INT_LIT', '10', line=2708, col=25)
Token('SEMI', ';', line=2708, col=27)
Token('ID', 'i', line=2708, col=29)
Token('INC', '++', line=2708, col=30)
Token('RPAREN', ')', line=2708, col=32)
Token('LBRACE', '{', line=2708, col=34)
Token('ID', 'arr', line=2709, col=9)
Token('LBRACKET', '[', line=2709, col=12)
Token('ID', 'i', line=2709, col=13)
Token('RBRACKET', ']', line=2709, col=14)
Token('ASSIGN', '=', line=2709, col=16)
Token('ID', 'i', line=2709, col=18)
Token('TIMES', '*', line=2709, col=20)
Token('INT_LIT', '2', line=2709, col=22)
Token('SEMI', ';', line=2709, col=23)
Token('ID', 'counter', line=2710, col=9)
Token('INC', '++', line=2710, col=16)
Token('SEMI', ';', line=2710, col=18)
Token('RBRACE', '}', line=2711, col=5)
Token('IF', 'if', line=2713, col=5)
Token('LPAREN', '(', line=2713, col=8)
Token('ID', 'x', line=2713, col=9)
Token('EQ', '==', line=2713, col=11)
Token('ID', 'y', line=2713, col=14)
Token('OR', '||', line=2713, col=16)
Token('ID', 'x', line=2713, col=19)
Token('NEQ', '!=', line=2713, col=21)
Token('INT_LIT', '0', line=2713, col=24)
Token('RPAREN', ')', line=2713, col=25)
Token('LBRACE', '{', line=2713, col=27)
Token('ID', 'x', line=2714, col=9)
Token('PLUS_ASSIGN', '+=', line=2714, col=11)
Token('INT_LIT', '10', line=2714, col=14)
Token('SEMI', ';', line=2714, col=16)
Token('ID', 'y', line=2715, col=9)
Token('MINUS_ASSIGN', '-=', line=2715, col=11)
Token('INT_LIT', '5', line=2715, col=14)
Token('SEMI', ';', line=2715, col=15)
Token('RBRACE', '}', line=2716, col=5)
Token('ELSE', 'else', line=2716, col=7)
Token('LBRACE', '{', line=2716, col=12)
Token('ID', 'x', line=2717, col=9)
Token('TIMES_ASSIGN', '*=', line=2717, col=11)
Token('INT_LIT', '2', line=2717, col=14)
Token('SEMI', ';', line=2717, col=15)
Token('ID', 'y', line=2718, col=9)
Token('DIV_ASSIGN', '/=', line=2718, col=11)
Token('INT_LIT', '3', line=2718, col=14)
Token('SEMI', ';', line=2718, col=15)
Token('RBRACE', '}', line=2719, col=5)
Token('WHILE', 'while', line=2721, col=5)
Token('LPAREN', '(', line=2721, col=11)
Token('ID', 'y', line=2721, col=12)
Token('GT', '>', line=2721, col=14)
Token('INT_LIT', '0', line=2721, col=16)
Token('AND', '&&', line=2721, col=18)
Token('ID', 'x', line=2721, col=21)
Token('LT', '<', line=2721, col=23)
Token('INT_LIT', '100', line=2721, col=25)
Token('RPAREN', ')', line=2721, col=28)
Token('LBRACE', '{', line=2721, col=30)
Token('ID', 'y', line=2722, col=9)
Token('DEC', '--', line=2722, col=10)
Token('SEMI', ';', line=2722, col=12)
Token('ID', 'x', line=2723, col=9)
Token('INC', '++', line=2723, col=10)
Token('SEMI', ';', line=2723, col=12)
Token('IF', 'if', line=2724, col=9)
Token('LPAREN', '(', line=2724, col=12)
Token('ID', 'y', line=2724, col=13)
Token('MOD', '%', line=2724, col=15)
Token('INT_LIT', '2', line=2724, col=17)
Token('EQ', '==', line=2724, col=19)
Token('INT_LIT', '0', line=2724, col=22)
Token('RPAREN', ')', line=2724, col=23)
Token('LBRACE', '{', line=2724, col=25)
Token('CONTINUE', 'continue', line=2725, col=13)
Token('SEMI', ';', line=2725, col=21)
Token('RBRACE', '}', line=2726, col=9)
Token('IF', 'if', line=2727, col=9)
Token('LPAREN', '(', line=2727, col=12)
Token('ID', 'x', line=2727, col=13)
Token('GT', '>', line=2727, col=15)
Token('INT_LIT', '50', line=2727, col=17)
Token('RPAREN', ')', line=2727, col=19)
Token('LBRACE', '{', line=2727, col=21)
Token('BREAK', 'break', line=2728, col=13)
Token('SEMI', ';', line=2728, col=18)
Token('RBRACE', '}', line=2729, col=9)
Token('RBRACE', '}', line=2730, col=5)
Token('T_INT', 'int', line=2732, col=5)
Token('ID', 'result', line=2732, col=9)
Token('ASSIGN', '=', line=2732, col=16)
Token('ID', 'factorial', line=2732, col=18)
Token('LPAREN', '(', line=2732, col=27)
Token('INT_LIT', '5', line=2732, col=28)
Token('RPAREN', ')', line=2732, col=29)
Token('SEMI', ';', line=2732, col=30)
Token('ID', 'Point', line=2733, col=5)
Token('ID', 'p', line=2733, col=11)
Token('SEMI', ';', line=2733, col=12)
Token('ID', 'p', line=2734, col=5)
Token('DOT', '.', line=2734, col=6)
Token('ID', 'x', line=2734, col=7)
Token('ASSIGN', '=', line=2734, col=9)
Token('ID', 'result', line=2734, col=11)
Token('SEMI', ';', line=2734, col=17)
Token('ID', 'p', line=2735, col=5)
Token('DOT', '.', line=2735, col=6)
Token('ID', 'y', line=2735, col=7)
Token('ASSIGN', '=', line=2735, col=9)
Token('ID', 'counter', line=2735, col=11)
Token('SEMI', ';', line=2735, col=18)
Token('ID', 'bool', line=2737, col=5)
Token('ID', 'flag', line=2737, col=10)
Token('ASSIGN', '=', line=2737, col=15)
Token('TRUE', 'true', line=2737, col=17)
Token('SEMI', ';', line=2737, col=21)
Token('IF', 'if', line=2738, col=5)
Token('LPAREN', '(', line=2738, col=8)
Token('NOT', '!', line=2738, col=9)
Token('ID', 'flag', line=2738, col=10)
Token('OR', '||', line=2738, col=15)
Token('ID', 'result', line=2738, col=18)
Token('EQ', '==', line=2738, col=25)
Token('NULL_KW', 'null', line=2738, col=28)
Token('RPAREN', ')', line=2738, col=32)
Token('LBRACE', '{', line=2738, col=34)
Token('RETURN', 'return', line=2739, col=9)
Token('INT_LIT', '0', line=2739, col=16)
Token('SEMI', ';', line=2739, col=17)
Token('RBRACE', '}', line=2740, col=5)
Token('T_INT', 'int', line=2742, col=5)
Token('ID', 'shifted', line=2742, col=9)
Token('ASSIGN', '=', line=2742, col=17)
Token('ID', 'x', line=2742, col=19)
Token('LSHIFT', '<<', line=2742, col=21)
Token('INT_LIT', '2', line=2742, col=24)
Token('SEMI', ';', line=2742, col=25)
Token('ID', 'shifted', line=2743, col=5)
Token('ASSIGN', '=', line=2743, col=13)
Token('ID', 'shifted', line=2743, col=15)
Token('RSHIFT', '>>', line=2743, col=23)
Token('INT_LIT', '1', line=2743, col=26)
Token('SEMI', ';', line=2743, col=27)
Token('RETURN', 'return', line=2745, col=5)
Token('ID', 'result', line=2745, col=12)
Token('SEMI', ';', line=2745, col=18)
Token('RBRACE', '}', line=2746, col=1)
Token('STRUCT', 'struct', line=2748, col=1)
Token('ID', 'Point', line=2748, col=8)
Token('LBRACE', '{', line=2748, col=14)
Token('T_INT', 'int', line=2749, col=5)
Token('ID', 'x', line=2749, col=9)
Token('SEMI', ';', line=2749, col=10)
Token('T_INT', 'int', line=2750, col=5)
Token('ID', 'y', line=2750, col=9)
Token('SEMI', ';', line=2750, col=10)
Token('RBRACE', '}', line=2751, col=1)
Token('SEMI', ';', line=2751, col=2)
Token('CONST', 'const', line=2753, col=1)
Token('T_FLOAT', 'float', line=2753, col=7)
Token('ID', 'PI', line=2753, col=13)
Token('ASSIGN', '=', line=2753, col=16)
Token('FLOAT_LIT', '3.14', line=2753, col=18)
Token('SEMI', ';', line=2753, col=22)
Token('T_INT', 'int', line=2754, col=1)
Token('ID', 'counter', line=2754, col=5)
Token('ASSIGN', '=', line=2754, col=13)
Token('INT_LIT', '0', line=2754, col=15)
Token('SEMI', ';', line=2754, col=16)
Token('T_INT', 'int', line=2755, col=1)
Token('ID', 'arr', line=2755, col=5)
Token('LBRACKET', '[', line=2755, col=8)
Token('INT_LIT', '10', line=2755, col=9)
Token('RBRACKET', ']', line=2755, col=11)
Token('SEMI', ';', line=2755, col=12)
Token('T_VOID', 'void', line=2757, col=1)
Token('ID', 'swap', line=2757, col=6)
Token('LPAREN', '(', line=2757, col=10)
Token('T_INT', 'int', line=2757, col=11)
Token('ID', 'a', line=2757, col=15)
Token('COMMA', ',', line=2757, col=16)
Token('T_INT', 'int', line=2757, col=18)
Token('ID', 'b', line=2757, col=22)
Token('RPAREN', ')', line=2757, col=23)
Token('LBRACE', '{', line=2757, col=25)
Token('T_INT', 'int', line=2758, col=5)
Token('ID', 'temp', line=2758, col=9)
Token('ASSIGN', '=', line=2758, col=14)
Token('ID', 'a', line=2758, col=16)
Token('SEMI', ';', line=2758, col=17)
Token('ID', 'a', line=2759, col=5)
Token('ASSIGN', '=', line=2759, col=7)
Token('ID', 'b', line=2759, col=9)
Token('SEMI', ';', line=2759, col=10)
Token('ID', 'b', line=2760, col=5)
Token('ASSIGN', '=', line=2760, col=7)
Token('ID', 'temp', line=2760, col=9)
Token('SEMI', ';', line=2760, col=13)
Token('RBRACE', '}', line=2761, col=1)
Token('T_INT', 'int', line=2763, col=1)
Token('ID', 'factorial', line=2763, col=5)
Token('LPAREN', '(', line=2763, col=14)
Token('T_INT', 'int', line=2763, col=15)
Token('ID', 'n', line=2763, col=19)
Token('RPAREN', ')', line=2763, col=20)
Token('LBRACE', '{', line=2763, col=22)
Token('IF', 'if', line=2764, col=5)
Token('LPAREN', '(', line=2764, col=8)
Token('ID', 'n', line=2764, col=9)
Token('LEQ', '<=', line=2764, col=11)
Token('INT_LIT', '1', line=2764, col=14)
Token('RPAREN', ')', line=2764, col=15)
Token('LBRACE', '{', line=2764, col=17)
Token('RETURN', 'return', line=2765, col=9)
Token('INT_LIT', '1', line=2765, col=16)
Token('SEMI', ';', line=2765, col=17)
Token('RBRACE', '}', line=2766, col=5)
Token('RETURN', 'return', line=2767, col=5)
Token('ID', 'n', line=2767, col=12)
Token('TIMES', '*', line=2767, col=14)
Token('ID', 'factorial', line=2767, col=16)
Token('LPAREN', '(', line=2767, col=25)
Token('ID', 'n', line=2767, col=26)
Token('MINUS', '-', line=2767, col=28)
Token('INT_LIT', '1', line=2767, col=30)
Token('RPAREN', ')', line=2767, col=31)
Token('SEMI', ';', line=2767, col=32)
Token('RBRACE', '}', line=2768, col=1)
Token('T_INT', 'int', line=2770, col=1)
Token('ID', 'main', line=2770, col=5)
Token('LPAREN', '(', line=2770, col=9)
Token('RPAREN', ')', line=2770, col=10)
Token('LBRACE', '{', line=2770, col=12)
Token('T_INT', 'int', line=2771, col=5)
Token('ID', 'x', line=2771, col=9)
Token('ASSIGN', '=', line=2771, col=11)
Token('HEX_LIT', '0xFF', line=2771, col=13)
Token('SEMI', ';', line=2771, col=17)
Token('T_INT', 'int', line=2772, col=5)
Token('ID', 'y', line=2772, col=9)
Token('ASSIGN', '=', line=2772, col=11)
Token('INT_LIT', '42', line=2772, col=13)
Token('SEMI', ';', line=2772, col=15)
Token('T_FLOAT', 'float', line=2773, col=5)
Token('ID', 'z', line=2773, col=11)
Token('ASSIGN', '=', line=2773, col=13)
Token('FLOAT_LIT', '1.5', line=2773, col=15)
Token('SEMI', ';', line=2773, col=18)
Token('FOR', 'for', line=2775, col=5)
Token('LPAREN', '(', line=2775, col=9)
Token('T_INT', 'int', line=2775, col=10)
Token('ID', 'i', line=2775, col=14)
Token('ASSIGN', '=', line=2775, col=16)
Token('INT_LIT', '0', line=2775, col=18)
Token('SEMI', ';', line=2775, col=19)
Token('ID', 'i', line=2775, col=21)
Token('LT', '<', line=2775, col=23)
Token('INT_LIT', '10', line=2775, col=25)
Token('SEMI', ';', line=2775, col=27)
Token('ID', 'i', line=2775, col=29)
Token('INC', '++', line=2775, col=30)
Token('RPAREN', ')', line=2775, col=32)
Token('LBRACE', '{', line=2775, col=34)
Token('ID', 'arr', line=2776, col=9)
Token('LBRACKET', '[', line=2776, col=12)
Token('ID', 'i', line=2776, col=13)
Token('RBRACKET', ']', line=2776, col=14)
Token('ASSIGN', '=', line=2776, col=16)
Token('ID', 'i', line=2776, col=18)
Token('TIMES', '*', line=2776, col=20)
Token('INT_LIT', '2', line=2776, col=22)
Token('SEMI', ';', line=2776, col=23)
Token('ID', 'counter', line=2777, col=9)
Token('INC', '++', line=2777, col=16)
Token('SEMI', ';', line=2777, col=18)
Token('RBRACE', '}', line=2778, col=5)
Token('IF', 'if', line=2780, col=5)
Token('LPAREN', '(', line=2780, col=8)
Token('ID', 'x', line=2780, col=9)
Token('EQ', '==', line=2780, col=11)
Token('ID', 'y', line=2780, col=14)
Token('OR', '||', line=2780, col=16)
Token('ID', 'x', line=2780, col=19)
Token('NEQ', '!=', line=2780, col=21)
Token('INT_LIT', '0', line=2780, col=24)
Token('RPAREN', ')', line=2780, col=25)
Token('LBRACE', '{', line=2780, col=27)
Token('ID', 'x', line=2781, col=9)
Token('PLUS_ASSIGN', '+=', line=2781, col=11)
Token('INT_LIT', '10', line=2781, col=14)
Token('SEMI', ';', line=2781, col=16)
Token('ID', 'y', line=2782, col=9)
Token('MINUS_ASSIGN', '-=', line=2782, col=11)
Token('INT_LIT', '5', line=2782, col=14)
Token('SEMI', ';', line=2782, col=15)
Token('RBRACE', '}', line=2783, col=5)
Token('ELSE', 'else', line=2783, col=7)
Token('LBRACE', '{', line=2783, col=12)
Token('ID', 'x', line=2784, col=9)
Token('TIMES_ASSIGN', '*=', line=2784, col=11)
Token('INT_LIT', '2', line=2784, col=14)
Token('SEMI', ';', line=2784, col=15)
Token('ID', 'y', line=2785, col=9)
Token('DIV_ASSIGN', '/=', line=2785, col=11)
Token('INT_LIT', '3', line=2785, col=14)
Token('SEMI', ';', line=2785, col=15)
Token('RBRACE', '}', line=2786, col=5)
Token('WHILE', 'while', line=2788, col=5)
Token('LPAREN', '(', line=2788, col=11)
Token('ID', 'y', line=2788, col=12)
Token('GT', '>', line=2788, col=14)
Token('INT_LIT', '0', line=2788, col=16)
Token('AND', '&&', line=2788, col=18)
Token('ID', 'x', line=2788, col=21)
Token('LT', '<', line=2788, col=23)
Token('INT_LIT', '100', line=2788, col=25)
Token('RPAREN', ')', line=2788, col=28)
Token('LBRACE', '{', line=2788, col=30)
Token('ID', 'y', line=2789, col=9)
Token('DEC', '--', line=2789, col=10)
Token('SEMI', ';', line=2789, col=12)
Token('ID', 'x', line=2790, col=9)
Token('INC', '++', line=2790, col=10)
Token('SEMI', ';', line=2790, col=12)
Token('IF', 'if', line=2791, col=9)
Token('LPAREN', '(', line=2791, col=12)
Token('ID', 'y', line=2791, col=13)
Token('MOD', '%', line=2791, col=15)
Token('INT_LIT', '2', line=2791, col=17)
Token('EQ', '==', line=2791, col=19)
Token('INT_LIT', '0', line=2791, col=22)
Token('RPAREN', ')', line=2791, col=23)
Token('LBRACE', '{', line=2791, col=25)
Token('CONTINUE', 'continue', line=2792, col=13)
Token('SEMI', ';', line=2792, col=21)
Token('RBRACE', '}', line=2793, col=9)
Token('IF', 'if', line=2794, col=9)
Token('LPAREN', '(', line=2794, col=12)
Token('ID', 'x', line=2794, col=13)
Token('GT', '>', line=2794, col=15)
Token('INT_LIT', '50', line=2794, col=17)
Token('RPAREN', ')', line=2794, col=19)
Token('LBRACE', '{', line=2794, col=21)
Token('BREAK', 'break', line=2795, col=13)
Token('SEMI', ';', line=2795, col=18)
Token('RBRACE', '}', line=2796, col=9)
Token('RBRACE', '}', line=2797, col=5)
Token('T_INT', 'int', line=2799, col=5)
Token('ID', 'result', line=2799, col=9)
Token('ASSIGN', '=', line=2799, col=16)
Token('ID', 'factorial', line=2799, col=18)
Token('LPAREN', '(', line=2799, col=27)
Token('INT_LIT', '5', line=2799, col=28)
Token('RPAREN', ')', line=2799, col=29)
Token('SEMI', ';', line=2799, col=30)
Token('ID', 'Point', line=2800, col=5)
Token('ID', 'p', line=2800, col=11)
Token('SEMI', ';', line=2800, col=12)
Token('ID', 'p', line=2801, col=5)
Token('DOT', '.', line=2801, col=6)
Token('ID', 'x', line=2801, col=7)
Token('ASSIGN', '=', line=2801, col=9)
Token('ID', 'result', line=2801, col=11)
Token('SEMI', ';', line=2801, col=17)
Token('ID', 'p', line=2802, col=5)
Token('DOT', '.', line=2802, col=6)
Token('ID', 'y', line=2802, col=7)
Token('ASSIGN', '=', line=2802, col=9)
Token('ID', 'counter', line=2802, col=11)
Token('SEMI', ';', line=2802, col=18)
Token('ID', 'bool', line=2804, col=5)
Token('ID', 'flag', line=2804, col=10)
Token('ASSIGN', '=', line=2804, col=15)
Token('TRUE', 'true', line=2804, col=17)
Token('SEMI', ';', line=2804, col=21)
Token('IF', 'if', line=2805, col=5)
Token('LPAREN', '(', line=2805, col=8)
Token('NOT', '!', line=2805, col=9)
Token('ID', 'flag', line=2805, col=10)
Token('OR', '||', line=2805, col=15)
Token('ID', 'result', line=2805, col=18)
Token('EQ', '==', line=2805, col=25)
Token('NULL_KW', 'null', line=2805, col=28)
Token('RPAREN', ')', line=2805, col=32)
Token('LBRACE', '{', line=2805, col=34)
Token('RETURN', 'return', line=2806, col=9)
Token('INT_LIT', '0', line=2806, col=16)
Token('SEMI', ';', line=2806, col=17)
Token('RBRACE', '}', line=2807, col=5)
Token('T_INT', 'int', line=2809, col=5)
Token('ID', 'shifted', line=2809, col=9)
Token('ASSIGN', '=', line=2809, col=17)
Token('ID', 'x', line=2809, col=19)
Token('LSHIFT', '<<', line=2809, col=21)
Token('INT_LIT', '2', line=2809, col=24)
Token('SEMI', ';', line=2809, col=25)
Token('ID', 'shifted', line=2810, col=5)
Token('ASSIGN', '=', line=2810, col=13)
Token('ID', 'shifted', line=2810, col=15)
Token('RSHIFT', '>>', line=2810, col=23)
Token('INT_LIT', '1', line=2810, col=26)
Token('SEMI', ';', line=2810, col=27)
Token('RETURN', 'return', line=2812, col=5)
Token('ID', 'result', line=2812, col=12)
Token('SEMI', ';', line=2812, col=18)
Token('RBRACE', '}', line=2813, col=1)
Token('STRUCT', 'struct', line=2815, col=1)
Token('ID', 'Point', line=2815, col=8)
Token('LBRACE', '{', line=2815, col=14)
Token('T_INT', 'int', line=2816, col=5)
Token('ID', 'x', line=2816, col=9)
Token('SEMI', ';', line=2816, col=10)
Token('T_INT', 'int', line=2817, col=5)
Token('ID', 'y', line=2817, col=9)
Token('SEMI', ';', line=2817, col=10)
Token('RBRACE', '}', line=2818, col=1)
Token('SEMI', ';', line=2818, col=2)
Token('CONST', 'const', line=2820, col=1)
Token('T_FLOAT', 'float', line=2820, col=7)
Token('ID', 'PI', line=2820, col=13)
Token('ASSIGN', '=', line=2820, col=16)
Token('FLOAT_LIT', '3.14', line=2820, col=18)
Token('SEMI', ';', line=2820, col=22)
Token('T_INT', 'int', line=2821, col=1)
Token('ID', 'counter', line=2821, col=5)
Token('ASSIGN', '=', line=2821, col=13)
Token('INT_LIT', '0', line=2821, col=15)
Token('SEMI', ';', line=2821, col=16)
Token('T_INT', 'int', line=2822, col=1)
Token('ID', 'arr', line=2822, col=5)
Token('LBRACKET', '[', line=2822, col=8)
Token('INT_LIT', '10', line=2822, col=9)
Token('RBRACKET', ']', line=2822, col=11)
Token('SEMI', ';', line=2822, col=12)
Token('T_VOID', 'void', line=2824, col=1)
Token('ID', 'swap', line=2824, col=6)
Token('LPAREN', '(', line=2824, col=10)
Token('T_INT', 'int', line=2824, col=11)
Token('ID', 'a', line=2824, col=15)
Token('COMMA', ',', line=2824, col=16)
Token('T_INT', 'int', line=2824, col=18)
Token('ID', 'b', line=2824, col=22)
Token('RPAREN', ')', line=2824, col=23)
Token('LBRACE', '{', line=2824, col=25)
Token('T_INT', 'int', line=2825, col=5)
Token('ID', 'temp', line=2825, col=9)
Token('ASSIGN', '=', line=2825, col=14)
Token('ID', 'a', line=2825, col=16)
Token('SEMI', ';', line=2825, col=17)
Token('ID', 'a', line=2826, col=5)
Token('ASSIGN', '=', line=2826, col=7)
Token('ID', 'b', line=2826, col=9)
Token('SEMI', ';', line=2826, col=10)
Token('ID', 'b', line=2827, col=5)
Token('ASSIGN', '=', line=2827, col=7)
Token('ID', 'temp', line=2827, col=9)
Token('SEMI', ';', line=2827, col=13)
Token('RBRACE', '}', line=2828, col=1)
Token('T_INT', 'int', line=2830, col=1)
Token('ID', 'factorial', line=2830, col=5)
Token('LPAREN', '(', line=2830, col=14)
Token('T_INT', 'int', line=2830, col=15)
Token('ID', 'n', line=2830, col=19)
Token('RPAREN', ')', line=2830, col=20)
Token('LBRACE', '{', line=2830, col=22)
Token('IF', 'if', line=2831, col=5)
Token('LPAREN', '(', line=2831, col=8)
Token('ID', 'n', line=2831, col=9)
Token('LEQ', '<=', line=2831, col=11)
Token('INT_LIT', '1', line=2831, col=14)
Token('RPAREN', ')', line=2831, col=15)
Token('LBRACE', '{', line=2831, col=17)
Token('RETURN', 'return', line=2832, col=9)
Token('INT_LIT', '1', line=2832, col=16)
Token('SEMI', ';', line=2832, col=17)
Token('RBRACE', '}', line=2833, col=5)
Token('RETURN', 'return', line=2834, col=5)
Token('ID', 'n', line=2834, col=12)
Token('TIMES', '*', line=2834, col=14)
Token('ID', 'factorial', line=2834, col=16)
Token('LPAREN', '(', line=2834, col=25)
Token('ID', 'n', line=2834, col=26)
Token('MINUS', '-', line=2834, col=28)
Token('INT_LIT', '1', line=2834, col=30)
Token('RPAREN', ')', line=2834, col=31)
Token('SEMI', ';', line=2834, col=32)
Token('RBRACE', '}', line=2835, col=1)
Token('T_INT', 'int', line=2837, col=1)
Token('ID', 'main', line=2837, col=5)
Token('LPAREN', '(', line=2837, col=9)
Token('RPAREN', ')', line=2837, col=10)
Token('LBRACE', '{', line=2837, col=12)
Token('T_INT', 'int', line=2838, col=5)
Token('ID', 'x', line=2838, col=9)
Token('ASSIGN', '=', line=2838, col=11)
Token('HEX_LIT', '0xFF', line=2838, col=13)
Token('SEMI', ';', line=2838, col=17)
Token('T_INT', 'int', line=2839, col=5)
Token('ID', 'y', line=2839, col=9)
Token('ASSIGN', '=', line=2839, col=11)
Token('INT_LIT', '42', line=2839, col=13)
Token('SEMI', ';', line=2839, col=15)
Token('T_FLOAT', 'float', line=2840, col=5)
Token('ID', 'z', line=2840, col=11)
Token('ASSIGN', '=', line=2840, col=13)
Token('FLOAT_LIT', '1.5', line=2840, col=15)
Token('SEMI', ';', line=2840, col=18)
Token('FOR', 'for', line=2842, col=5)
Token('LPAREN', '(', line=2842, col=9)
Token('T_INT', 'int', line=2842, col=10)
Token('ID', 'i', line=2842, col=14)
Token('ASSIGN', '=', line=2842, col=16)
Token('INT_LIT', '0', line=2842, col=18)
Token('SEMI', ';', line=2842, col=19)
Token('ID', 'i', line=2842, col=21)
Token('LT', '<', line=2842, col=23)
Token('INT_LIT', '10', line=2842, col=25)
Token('SEMI', ';', line=2842, col=27)
Token('ID', 'i', line=2842, col=29)
Token('INC', '++', line=2842, col=30)
Token('RPAREN', ')', line=2842, col=32)
Token('LBRACE', '{', line=2842, col=34)
Token('ID', 'arr', line=2843, col=9)
Token('LBRACKET', '[', line=2843, col=12)
Token('ID', 'i', line=2843, col=13)
Token('RBRACKET', ']', line=2843, col=14)
Token('ASSIGN', '=', line=2843, col=16)
Token('ID', 'i', line=2843, col=18)
Token('TIMES', '*', line=2843, col=20)
Token('INT_LIT', '2', line=2843, col=22)
Token('SEMI', ';', line=2843, col=23)
Token('ID', 'counter', line=2844, col=9)
